Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
London,E09000033,Westminster,219396,44988,78104,37975,17324,24268,53928,31.03,68.97,64.99,Remain
North West,E08000014,Sefton,273790,30830,68766,71558,41953,71176,76702,48.13,51.87,71.73,Remain
East Midlands,E07000151,Daventry,77843,7385,22067,20984,8783,28938,20443,58.6,41.4,81.01,Leave
West Midlands,E08000031,Wolverhampton,249470,35935,68769,52038,29776,73798,44138,62.57,37.43,67.54,Leave
North West,E08000015,Wirral,319783,36008,83352,81433,43931,83069,88931,48.3,51.7,70.96,Remain
East,E07000143,Breckland,130491,14637,32889,34027,20050,47235,26313,64.22,35.78,74.34,Leave
South East,E07000207,Elmbridge,130875,11145,40652,29911,15700,31162,45841,40.47,59.53,78.14,Remain
South East,E07000229,Worthing,104640,11510,29205,24547,16230,32515,28851,52.99,47.01,75.46,Leave
North East,E06000002,Middlesbrough,138412,21455,35313,30377,15011,40177,21181,65.48,34.52,64.89,Leave
Yorkshire and The Humber,E08000032,Bradford,522452,74489,142445,104411,50822,123913,104575,54.23,45.77,66.72,Leave
East,E07000071,Colchester,173074,25833,47837,38929,19108,51305,44414,53.6,46.4,75.11,Leave
South West,E06000024,North Somerset,202566,19854,53690,53275,30165,64976,59572,52.17,47.83,77.47,Leave
London,E09000018,Hounslow,253957,44843,81457,45468,18943,56321,58755,48.94,51.06,69.8,Remain
London,E09000010,Enfield,312466,46683,93082,58773,27669,60481,76425,44.18,55.82,69.09,Remain
West Midlands,E08000028,Sandwell,308063,43878,86212,61855,33702,98250,49004,66.72,33.28,66.58,Leave
London,E09000001,City of London,7375,1501,2645,1739,706,1087,3312,24.71,75.29,73.58,Remain
North East,E06000005,Darlington,105564,12678,28911,25456,13234,30994,24172,56.18,43.82,71.07,Leave
South West,E06000023,Bristol,428234,85123,122236,79011,40650,87418,141027,38.27,61.73,73.17,Remain
East Midlands,E07000032,Amber Valley,122309,12672,33911,32868,15560,44501,29319,60.28,39.72,76.34,Leave
West Midlands,E07000192,Cannock Chase,97462,12022,28123,23323,10613,36894,16684,68.86,31.14,71.47,Leave
North East,E08000020,Gateshead,200214,26163,55519,47704,25599,58529,44429,56.85,43.15,70.62,Leave
South East,E07000092,Rushmoor,93807,13964,29780,18324,7968,28396,20384,58.21,41.79,74.18,Leave
South East,E07000180,Vale of White Horse,120988,12886,33581,30155,15444,33192,43462,43.3,56.7,81.18,Remain
