Region,Code,Area_name,All_Residents,age20to29,Age30to49,Age50to69,Age70andover,Leave_votes,Remain_votes,Percent_Leave,Percent_Remain,Percent_Turnout,Voting
East,E07000146,King's Lynn and West Norfolk,147451,16354,36002,39653,24126,56493,28587,66.4,33.6,74.75,Leave
North West,E08000004,Oldham,224897,29763,60644,49258,22926,65369,42034,60.86,39.14,68,Leave
London,E09000006,Bromley,309392,34006,92444,70402,37860,90034,92398,49.35,50.65,78.87,Remain
South East,E06000038,Reading,155698,29687,48416,26395,12930,31382,43385,41.97,58.03,72.53,Remain
London,E09000004,Bexley,231997,28873,65140,50645,27296,80886,47603,62.95,37.05,75.28,Leave
South East,E07000208,Epsom and Ewell,75102,8134,21917,17514,9073,21707,23596,47.92,52.08,80.42,Remain
South East,E07000105,Ashford,117956,12715,32786,28094,13773,41472,28314,59.43,40.57,77.14,Leave
East,E07000075,Rochford,83287,7867,22583,22002,11827,34937,17510,66.61,33.39,78.81,Leave
South East,E07000006,South Bucks,66867,6528,18135,16955,9514,20647,20077,50.7,49.3,78.08,Leave
South East,E07000223,Adur,61182,6113,16292,15641,9776,20315,16914,54.57,45.43,76.4,Leave
West Midlands,E07000237,Worcester,98768,14497,28678,21281,10361,29114,25125,53.68,46.32,73.85,Leave
London,E09000019,Islington,206125,50197,70800,30697,12641,25180,76420,24.78,75.22,70.39,Remain
South East,E07000007,Wycombe,171644,21019,49160,38976,19004,45529,49261,48.03,51.97,75.74,Remain
West Midlands,E08000027,Dudley,312925,37088,84918,74774,40942,118446,56780,67.6,32.4,71.71,Leave
South East,E06000043,Brighton and Hove,273369,51127,86096,50232,26157,46027,100648,31.38,68.62,74.05,Remain
North East,E06000047,County Durham,513242,65783,135687,131932,64471,153877,113521,57.55,42.45,68.69,Leave
North West,E07000125,Rossendale,67982,7809,19226,17177,7177,23169,15012,60.68,39.32,72.43,Leave
London,E09000021,Kingston upon Thames,160060,25863,50046,31152,14664,32737,52533,38.39,61.61,78.4,Remain
North West,E08000010,Wigan,317849,39484,90862,77470,34468,104331,58942,63.9,36.1,69.23,Leave
Yorkshire and The Humber,E08000033,Calderdale,203826,23510,57824,49788,22624,58975,46950,55.68,44.32,71.05,Leave
South East,E07000086,Eastleigh,125199,14564,35594,30544,14851,39902,36172,52.45,47.55,78.28,Leave
South East,E07000084,Basingstoke and Deane,167799,19944,51252,38871,16451,52071,48257,51.9,48.1,78.02,Leave
London,E09000023,Lewisham,275885,47348,95276,44346,18851,37518,86955,30.14,69.86,63.1,Remain
South East,E07000178,Oxford,151906,39650,39834,23682,12057,20913,49424,29.73,70.27,72.34,Remain
South West,E06000026,Plymouth,256384,43231,66244,57618,29559,79997,53458,59.94,40.06,71.41,Leave
South East,E07000109,Gravesham,101720,13120,28257,22510,11659,35643,18876,65.38,34.62,74.93,Leave
East Midlands,E07000152,East Northamptonshire,86765,8278,24765,22101,9991,30894,21680,58.76,41.24,76.99,Leave
South East,E07000094,Winchester,116595,13152,30909,28784,15586,29886,42878,41.07,58.93,81.26,Remain
East Midlands,E07000174,Mansfield,104466,13317,28669,25726,12496,39927,16417,70.86,29.14,72.62,Leave
Yorkshire and The Humber,E07000168,Scarborough,108793,11635,25289,31115,18108,37512,22999,61.99,38.01,73.03,Leave
South West,E07000044,South Hams,83140,7072,19330,26090,13720,26142,29308,47.15,52.85,80.27,Remain
London,E09000002,Barking and Dagenham,185911,28024,55679,29488,14371,46130,27750,62.44,37.56,63.85,Leave
South East,E07000228,Mid Sussex,139860,14000,39614,34797,17951,41057,46471,46.91,53.09,80.79,Remain
East Midlands,E07000037,High Peak,90892,9702,25259,24113,10724,27717,27116,50.55,49.45,75.69,Leave
East,E07000206,Waveney,115254,11677,27470,31066,19779,41290,24356,62.9,37.1,72.67,Leave
South East,E07000212,Runnymede,80510,11479,22779,17970,9804,24035,20259,54.26,45.74,76.07,Leave
Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",256406,44314,70130,53174,26096,76646,36709,67.62,32.38,62.94,Leave
Wales,W06000010,Carmarthenshire,183777,20129,45360,49537,26757,55381,47654,53.75,46.25,74.07,Leave
South West,E07000079,Cotswold,82881,7253,21193,23624,13209,26806,28015,48.9,51.1,79.8,Remain
Yorkshire and The Humber,E06000013,North Lincolnshire,167446,19491,44529,43040,21022,58915,29947,66.3,33.7,71.92,Leave
South East,E07000177,Cherwell,141868,17167,42078,32129,15383,41168,40668,50.31,49.69,75.6,Leave
North West,E06000007,Warrington,202228,24591,58918,47818,22234,62487,52657,54.27,45.73,73.36,Leave
East Midlands,E07000131,Harborough,85382,7401,24137,22719,10762,27850,27028,50.75,49.25,81.44,Leave
East,E07000077,Uttlesford,79443,7203,22426,20468,9379,26324,25619,50.68,49.32,80.28,Leave
London,E09000013,Hammersmith and Fulham,182493,43300,64273,27522,11402,24054,56188,29.98,70.02,69.95,Remain
East,E07000076,Tendring,138048,12381,30600,39119,27052,57447,25210,69.5,30.5,74.4,Leave
North West,E07000030,Eden,52564,4765,13410,15436,8049,16911,14807,53.32,46.68,75.82,Leave
North West,E08000002,Bury,185060,22310,52331,43598,20572,54674,46354,54.12,45.88,71.43,Leave
South East,E07000110,Maidstone,155143,18274,43556,37744,18517,52365,36762,58.75,41.25,76.02,Leave
East,E07000097,East Hertfordshire,137687,13739,42286,32355,15017,42994,42372,50.36,49.64,80.4,Leave
North West,E07000031,South Lakeland,103658,8843,25642,31008,17734,30800,34531,47.14,52.86,79.78,Remain
East,E07000147,North Norfolk,101499,8821,21369,31538,20986,37576,26214,58.91,41.09,76.84,Leave
North East,E06000003,Redcar and Cleveland,135177,15720,34518,35174,18476,48128,24586,66.19,33.81,70.26,Leave
South East,E06000035,Medway,263925,36622,74020,58888,25408,88997,49889,64.08,35.92,72.18,Leave
North West,E07000126,South Ribble,109057,12639,30439,27417,13516,37318,26406,58.56,41.44,75.38,Leave
South East,E07000210,Mole Valley,85375,7312,23120,22530,12717,25708,29088,46.92,53.08,82.17,Remain
South East,E07000181,West Oxfordshire,104779,11351,29637,26039,13577,30435,35236,46.34,53.66,79.72,Remain
South West,E06000029,Poole,147645,16892,39933,36096,22147,49707,35741,58.17,41.83,75.38,Leave
Wales,W06000008,Ceredigion,75922,11805,16021,20023,10981,18031,21711,45.37,54.63,74.48,Remain
Wales,W06000013,Bridgend,139178,16673,38557,34540,17336,40622,33723,54.64,45.36,71.18,Leave
East Midlands,E07000138,Lincoln,93541,19113,24027,18713,9617,24992,18902,56.94,43.06,69.34,Leave
East Midlands,E07000150,Corby,61255,8710,17742,13427,5693,20611,11470,64.25,35.75,74.1,Leave
North West,E07000029,Copeland,70603,7804,18882,19247,9336,23528,14419,62,38,70.06,Leave
South East,E06000040,Windsor and Maidenhead,144560,15952,43144,33175,17134,37706,44086,46.1,53.9,79.73,Remain
South East,E07000216,Waverley,121572,10349,33497,30301,17112,31601,44341,41.61,58.39,82.35,Remain
East Midlands,E07000153,Kettering,93475,10790,27161,22219,10307,32877,21030,60.99,39.01,76.43,Leave
East,E07000068,Brentwood,73601,7467,20762,17961,10348,27627,19077,59.15,40.85,79.5,Leave
West Midlands,E07000234,Bromsgrove,93637,8927,25191,24864,13632,32563,26252,55.37,44.63,79.35,Leave
East,E07000067,Braintree,147084,16330,41845,36106,16995,52713,33523,61.13,38.87,76.67,Leave
Wales,W06000020,Torfaen,91075,11162,23563,22705,11533,28781,19363,59.78,40.22,69.86,Leave
North West,E08000006,Salford,233933,40526,64907,47454,23708,62385,47430,56.81,43.19,63.3,Leave
London,E09000008,Croydon,363378,51283,110967,71576,31788,78221,92913,45.71,54.29,69.81,Remain
London,E09000031,Waltham Forest,258249,47112,82863,42636,18335,44395,64156,40.9,59.1,66.69,Remain
Yorkshire and The Humber,E08000017,Doncaster,302402,39656,80830,72876,36404,104260,46922,68.96,31.04,69.56,Leave
East Midlands,E07000035,Derbyshire Dales,71116,5727,17984,21443,11001,24095,22633,51.56,48.44,81.92,Leave
South West,E07000051,Purbeck,44973,4163,10670,13134,7716,16966,11754,59.07,40.93,78.91,Leave
South West,E07000083,Tewkesbury,81943,8111,22502,21557,11674,28568,25084,53.25,46.75,79.15,Leave
West Midlands,E08000026,Coventry,316960,55458,83760,61749,33042,85097,67967,55.6,44.4,69.21,Leave
South West,E07000189,South Somerset,161243,16640,40051,43638,24742,56940,42527,57.25,42.75,78.69,Leave
West Midlands,E07000236,Redditch,84214,11170,23869,20756,7832,28579,17303,62.29,37.71,75.22,Leave
North West,E07000118,Chorley,107155,12332,30767,27655,12018,36098,27417,56.83,43.17,75.52,Leave
South East,E07000093,Test Valley,116398,11093,32372,30671,14757,39091,36170,51.94,48.06,79.65,Leave
South East,E07000112,Shepway,107969,11791,27347,28342,15997,37729,22884,62.25,37.75,75,Leave
East,E07000008,Cambridge,123867,31417,34591,20070,10769,15117,42682,26.15,73.85,72.22,Remain
Wales,W06000019,Blaenau Gwent,69814,8920,18797,17262,8564,21587,13215,62.03,37.97,68.08,Leave
South West,E07000042,Mid Devon,77750,7563,19802,21207,11068,25606,22400,53.34,46.66,79.38,Leave
East Midlands,E07000142,West Lindsey,89250,8056,22769,25825,12666,33847,20906,61.82,38.18,74.53,Leave
Yorkshire and The Humber,E06000012,North East Lincolnshire,159616,20508,41775,38355,20472,55185,23797,69.87,30.13,67.94,Leave
South West,E07000050,North Dorset,68583,6599,17102,18390,10561,23802,18399,56.4,43.6,79.71,Leave
South West,E07000052,West Dorset,99264,7907,22579,29520,18950,33267,31924,51.03,48.97,79.49,Leave
East,E07000205,Suffolk Coastal,124298,10317,30498,35159,20707,41966,37218,53,47,80.68,Leave
Wales,W06000006,Wrexham,134844,17264,36721,32909,15725,41544,28822,59.04,40.96,71.56,Leave
Wales,W06000014,Vale of Glamorgan,126336,13794,33601,32405,16231,35628,36681,49.27,50.73,76.15,Remain
South East,E07000225,Chichester,113794,11350,27135,31075,20343,36326,35011,50.92,49.08,77.91,Leave
East Midlands,E06000016,Leicester,329839,64977,88407,59487,27239,67992,70980,48.92,51.08,65.15,Remain
South East,E07000064,Rother,90588,7009,19571,26689,19067,33753,23916,58.53,41.47,79.33,Leave
South West,E07000040,East Devon,132457,10718,29744,38252,27489,48040,40743,54.11,45.89,78.94,Leave
East,E07000070,Chelmsford,168310,20518,48072,40415,19779,53249,47545,52.83,47.17,77.6,Leave
West Midlands,E06000019,"Herefordshire, County of",183477,19112,46869,49960,27598,64122,44148,59.22,40.78,78.36,Leave
North West,E07000120,Hyndburn,80734,10328,22151,18700,8789,26568,13569,66.19,33.81,64.74,Leave
West Midlands,E07000193,East Staffordshire,113583,13921,31690,27145,13391,39266,22850,63.21,36.79,74.39,Leave
South East,E06000037,West Berkshire,153822,15847,45496,37630,16220,44977,48300,48.22,51.78,79.95,Remain
London,E09000026,Redbridge,278970,42708,82792,52144,24220,59020,69213,46.03,53.97,67.63,Remain
East Midlands,E07000156,Wellingborough,75356,8663,21338,18438,8413,25679,15462,62.42,37.58,75.46,Leave
